"Listing URL","Property Type","Latitude","Longitude","Star Rating","Number of Active Days","Bedrooms","Has pool","Cleaning Fee","Extra Guest Fee","Average Daily Rate LTM","Occupancy Rate LTM","Annual Revenue LTM"
"http://airbnb.com/rooms/42013933","Condo","33.59652","-111.98455","5","209","1","t","150","0","101","59","23385"
"http://airbnb.com/rooms/42016859","Entire Home","33.45964","-112.06572","4.8","274","Studio","f","67","0","157","34","21864"
"http://airbnb.com/rooms/42018384","Condo","33.457","-112.079","4.8","141","1","t","150","0","141","53","29688"
"http://airbnb.com/rooms/42022320","Entire Home","33.48218","-111.96031","5","364","Studio","t","130","13","150","44","30692"
"http://airbnb.com/rooms/42026282","Private Room","33.41629","-112.19686","4.8","32","1","f","20","10","60","41","11518"
"http://airbnb.com/rooms/42044619","Private Room","33.38391","-112.01222","4.9","237","Studio","t","0","0","122","74","33042"
"http://airbnb.com/rooms/42058129","Entire Home","33.5256","-112.10499","4.8","174","4","t","64","17","212","90","74544"
"http://airbnb.com/rooms/42073129","Entire Home","33.48236","-112.10841","4.8","279","4","f","199","2","223","59","63296"
"http://airbnb.com/rooms/42074546","Entire Home","33.50539","-112.05274","5","29","3","f","125","0","407","87","134335"
"http://airbnb.com/rooms/42076502","Condo","33.38534","-112.01216","4.7","213","Studio","t","0","0","122","75","33490"
"http://airbnb.com/rooms/42089375","Entire Home","33.61719","-112.08486","4.7","234","5","t","350","0","573","47","111159"
"http://airbnb.com/rooms/42114487","Entire Home","33.46929","-112.10276","4.2","35","Studio","f","50","0","55","27","5438"
"http://airbnb.com/rooms/42121170","Private Room","33.48928","-112.05156","4.9","4","1","f","5","0","74","100","28914"
"http://airbnb.com/rooms/42139629","Entire Home","33.45222","-112.05431","4.9","34","Studio","f","0","0","135","28","13833"
"http://airbnb.com/rooms/42139851","Entire Home","33.61973","-111.95927","5","129","3","t","250","9","622","77","188768"
"http://airbnb.com/rooms/42177569","Entire Home","33.512","-112.285","4.9","4","3","f","0","0","83","100","30378"
"http://airbnb.com/rooms/42181192","Condo","33.3841","-112.01396","4.8","277","2","t","0","0","163","39","23267"
"http://airbnb.com/rooms/42182232","Private Room","33.57722","-112.14561","5","28","1","f","15","10","66","100","24352"
"http://airbnb.com/rooms/42208398","Entire Home","33.50374","-112.05371","4.8","336","1","f","99","0","143","72","39301"
"http://airbnb.com/rooms/42226778","Private Room","33.38519","-112.01244","5","116","Studio","t","0","0","118","86","37143"
"http://airbnb.com/rooms/42234883","Entire Home","33.3712","-112.04252","4.8","330","3","t","0","0","242","45","39857"
"http://airbnb.com/rooms/42239975","Private Room","33.37882","-112.12273","5","4","1","f","25","25","57","100","20862"
"http://airbnb.com/rooms/42251346","Entire Home","33.51059","-112.06134","4.9","352","2","t","150","0","168","52","36029"
"http://airbnb.com/rooms/42254046","Entire Home","33.46777","-112.09197","5","204","2","f","65","0","99","90","34476"
"http://airbnb.com/rooms/42254468","Entire Home","33.38251","-112.12942","5","119","3","f","160","6","312","45","56309"
"http://airbnb.com/rooms/42258248","Condo","33.58668","-111.95968","5","229","1","t","0","0","182","73","48627"
"http://airbnb.com/rooms/42269055","Condo","33.456","-112.079","4.8","327","1","f","100","0","82","60","18902"
"http://airbnb.com/rooms/42280914","Private Room","33.38444","-112.01171","5","46","Studio","t","0","0","99","86","31158"
"http://airbnb.com/rooms/42289703","Condo","33.495","-112.279","4.5","147","3","t","156","0","107","45","22672"
"http://airbnb.com/rooms/42294461","Entire Home","33.616","-111.928","5","349","5","t","400","21","470","62","120496"
